遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4,獎號5,獎號6,特別號,,,,,
大樂透,110000001,110/01/01,,,,5,37,41,42,46,49,18,,,,,
大樂透,110000002,110/01/05,,,,8,13,17,20,43,48,38,,,,,
大樂透,110000003,110/01/08,,,,4,18,24,26,43,47,33,,,,,
大樂透,110000004,110/01/12,,,,1,10,20,28,37,44,33,,,,,
大樂透,110000005,110/01/15,,,,3,4,8,11,42,44,21,,,,,
大樂透,110000006,110/01/19,,,,15,29,31,33,41,47,37,,,,,
大樂透,110000007,110/01/22,,,,7,30,34,36,45,46,43,,,,,
大樂透,110000008,110/01/26,,,,8,20,23,37,43,46,44,,,,,
大樂透,110000009,110/01/29,,,,14,22,30,31,39,40,49,,,,,
大樂透,110000010,110/02/02,,,,14,34,35,38,43,47,40,,,,,
大樂透,110000011,110/02/05,,,,5,9,19,31,33,35,32,,,,,
大樂透,110000012,110/02/09,,,,1,3,6,12,27,43,2,,,,,
大樂透,110000013,110/02/10,,,,3,18,24,34,41,42,37,,,,,
大樂透,110000014,110/02/11,,,,7,17,18,26,41,47,39,,,,,
大樂透,110000015,110/02/12,,,,5,6,10,12,44,48,36,,,,,
大樂透,110000016,110/02/13,,,,13,30,37,40,43,46,5,,,,,
大樂透,110000017,110/02/14,,,,1,12,16,17,38,45,32,,,,,
大樂透,110000018,110/02/15,,,,4,8,10,18,33,40,2,,,,,
大樂透,110000019,110/02/16,,,,1,9,11,12,37,46,43,,,,,
大樂透,110000020,110/02/17,,,,2,13,24,26,45,49,10,,,,,
大樂透,110000021,110/02/18,,,,1,3,9,41,42,48,27,,,,,
大樂透,110000022,110/02/19,,,,2,28,31,36,40,45,24,,,,,
大樂透,110000023,110/02/20,,,,1,6,10,11,26,47,22,,,,,
大樂透,110000024,110/02/21,,,,9,18,25,27,32,39,40,,,,,
大樂透,110000025,110/02/23,,,,1,6,18,19,20,42,43,,,,,
大樂透,110000026,110/02/26,,,,4,13,22,23,39,42,26,,,,,
大樂透,110000027,110/03/02,,,,5,7,11,24,27,30,12,,,,,
大樂透,110000028,110/03/05,,,,6,8,14,29,38,48,35,,,,,
大樂透,110000029,110/03/09,,,,8,9,13,29,36,46,23,,,,,
大樂透,110000030,110/03/12,,,,8,21,26,30,33,46,45,,,,,
大樂透,110000031,110/03/16,,,,8,19,22,24,30,43,13,,,,,
大樂透,110000032,110/03/19,,,,7,19,28,35,38,48,8,,,,,
大樂透,110000033,110/03/23,,,,2,15,28,43,45,49,35,,,,,
大樂透,110000034,110/03/26,,,,15,21,24,30,37,38,34,,,,,
大樂透,110000035,110/03/30,,,,17,22,23,25,31,33,03,,,,,
